heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
4,4000000,4012444,14930287329093990966,16994406626775894751,1,166,63.846154,7940618,15367,C B J K F G I A E D H,F I C K A J B H D G E,G C H I D F E A J B K,15,0,0,0,15,2,0,15,2,6,6223,0,0,0,3327,3500,10,8,0,509,1,384,0,0,0,0,30,3,0,224,66,0,0,2,8,6,5,0,124,10109,7,0,66,116,0,7,10,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,2,166,63.846154,23794832,9752,G F H B C E D I J A K,I E G A K J B D F H C,D B K I A F C G E J H,14,0,0,0,13,2,0,15,0,7,6213,0,0,0,3300,3400,10,9,0,609,2,384,0,0,0,0,30,4,0,213,69,0,0,3,8,7,5,0,124,10109,7,0,59,115,0,7,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,3,165,63.461538,977442,5840,A D I C K G E J B F H,J A G K B D H E I C F,H D C E F K A I G B J,15,0,0,0,15,2,0,15,2,6,6238,0,0,0,3290,3400,10,9,0,581,1,384,0,0,0,0,30,3,0,218,69,0,0,3,8,6,5,0,124,10109,7,0,66,115,0,7,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,4,165,63.461538,2642013,7860,A I D G C F J K E H B,E H F B C G J K I A D,J F B G K D A I E H C,15,0,0,0,15,2,0,15,2,6,6238,0,0,0,3309,3500,10,8,0,609,1,384,0,0,0,0,30,3,0,214,66,0,0,2,8,7,5,0,124,10109,8,0,59,116,0,6,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,5,165,63.461538,3706141,2625,B A D K F G H I C J E,J G H I B K A D F E C,A D F G E C K J B I H,15,0,0,0,15,2,0,15,2,6,6234,0,0,0,3309,3500,10,9,0,590,1,384,0,0,0,0,30,3,0,218,70,0,0,2,8,6,5,0,124,10109,8,0,55,117,0,6,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,6,165,63.461538,4168335,14026,B C G F A H D J I K E,I B G J A E D H K F C,G E K H F J I C A B D,14,0,0,0,13,2,0,15,0,7,6176,0,0,0,3263,3400,10,9,0,590,1,307,0,0,0,0,30,4,0,215,69,0,0,1,8,6,5,0,124,10109,7,0,62,115,0,6,14,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,7,165,63.461538,4269793,10176,B C I K D E H A F J G,F B J C D K A H G I E,G H E I J A F C D K B,13,0,0,0,13,2,0,15,0,8,6188,0,0,0,3290,3400,10,9,0,600,1,307,0,0,0,0,30,4,0,221,69,0,0,2,8,6,5,0,124,10109,7,0,60,114,0,7,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,8,165,63.461538,8347237,12587,C E A B F H G J D K I,I A B G D J E C H F K,G K E F C D J H A B I,15,0,0,0,15,2,0,15,2,6,6218,0,0,0,3309,3500,10,8,0,518,1,307,0,0,0,0,30,3,0,210,66,0,0,2,8,6,5,0,124,10109,7,0,54,116,0,6,12,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,9,165,63.461538,9498504,18486,C H B G I E D A F J K,K J E A G H I C D B F,E D B J K F G I C H A,14,0,0,0,13,2,0,15,0,7,6174,0,0,0,3300,3500,10,8,0,581,1,384,0,0,0,0,30,4,0,226,69,0,0,2,8,6,5,0,124,10109,7,0,56,115,0,7,13,0,4,0
4,4000000,4012444,14930287329093990966,16994406626775894751,10,165,63.461538,10843747,733,C K I J E G D H A F B,H C K J B I D F G A E,A H G E J D C B I F K,13,0,0,0,13,2,0,15,0,7,6197,0,0,0,3309,3500,10,8,0,600,1,384,0,0,0,0,30,4,0,217,69,0,0,2,8,6,5,0,124,10109,7,0,62,115,0,6,14,0,4,0
