heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
38,4000000,4012543,3180172010120840130,16994406626775894751,1,169,65.000000,9005389,12607,C F J D I E K G A H B,H C F A K E J I B G D,F B E J D G C K I A H,14,0,0,0,13,2,0,15,3,8,6122,0,0,0,3300,3400,10,9,0,527,1,409,0,0,0,0,34,4,0,212,66,0,0,3,8,7,5,0,127,10327,7,0,61,108,0,6,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,2,169,65.000000,17157758,563,E I C G D B F J H A K,I H K D E F B G J C A,F K A H G B C D E J I,14,0,0,0,13,2,0,15,0,7,6094,0,0,0,3281,3500,10,9,0,518,1,409,0,0,0,0,34,4,0,213,62,0,0,4,8,8,5,0,127,10327,7,0,59,114,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,3,167,64.230769,5239252,2612,B F E K G I D A J C H,K J E F G H C A I D B,I D F B A K H J E G C,14,0,0,0,13,2,0,15,3,8,6135,0,0,0,3300,3400,10,9,0,490,2,409,0,0,0,0,34,4,0,209,66,0,0,3,8,7,6,0,127,10327,7,0,62,109,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,4,167,64.230769,6182844,5797,B I A E J D H G C F K,A F D B E H K J G C I,K B G I A C D H E J F,14,0,0,0,13,2,0,15,0,7,6087,0,0,0,3290,3400,10,9,0,536,3,409,0,0,0,0,34,4,0,216,64,0,0,3,8,8,6,0,127,10327,7,0,59,111,0,7,13,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,5,167,64.230769,9206529,8952,C G E D I K A F H J B,C I D H E K J A B F G,J F B K A C D G I H E,14,0,0,0,13,2,0,15,3,8,6147,0,0,0,3272,3400,10,9,0,563,2,409,0,0,0,0,34,4,0,210,66,0,0,3,8,7,5,0,127,10327,7,0,55,111,0,7,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,6,167,64.230769,10632975,6549,C K D H I A B G F J E,H B K A D F J G I E C,I F H K G C D E B A J,14,0,0,0,13,2,0,15,3,8,6103,0,0,0,3300,3600,10,8,0,590,1,409,0,0,0,0,34,4,0,215,62,0,0,4,8,7,5,0,127,10327,7,0,58,113,0,7,16,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,7,167,64.230769,12062796,15136,D E C B G K F I A H J,A F E D H J K I G B C,G B F K C D A H E I J,13,0,0,0,13,2,0,15,3,8,6133,0,0,0,3309,3500,10,8,0,509,1,384,0,0,0,0,34,5,0,214,66,0,0,3,8,8,6,0,127,10327,7,0,63,110,0,7,16,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,8,167,64.230769,18250341,5956,F A D I B J C K G H E,J A B G H D K I F E C,E K D A C G H F B I J,13,0,0,0,13,2,0,15,0,7,6099,0,0,0,3290,3500,10,9,0,572,1,307,0,0,0,0,34,5,0,211,63,0,0,2,8,8,6,0,127,10327,7,0,63,110,0,7,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,9,167,64.230769,20314178,181,F G K I E A J B D C H,K F H G C D I B E J A,H E I A G K F C B D J,14,0,0,0,13,2,0,15,0,7,6111,0,0,0,3290,3400,10,9,0,554,1,384,0,0,0,0,34,4,0,223,66,0,0,3,8,7,5,0,127,10327,7,0,58,110,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,10,167,64.230769,21802696,8716,G A B I K F C H J D E,H J D F I G C E A B K,C K B I H D J G E F A,13,0,0,0,13,2,0,15,3,8,6143,0,0,0,3300,3600,10,8,0,536,1,409,0,0,0,0,34,4,0,221,63,0,0,2,8,8,6,0,127,10327,7,0,68,113,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,11,167,64.230769,34197669,2409,J E C B D I G K F H A,J F E A H G D I K B C,H B F G D E K A I C J,13,0,0,0,13,2,0,15,0,7,6077,0,0,0,3318,3500,10,9,0,518,1,409,0,0,0,0,34,4,0,212,65,0,0,3,8,8,5,0,127,10327,7,0,58,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,12,167,64.230769,37654571,17143,K D H J B A C F I G E,D C A H B J I K G E F,K B J I D C F H A G E,14,0,0,0,13,2,0,15,3,8,6110,0,0,0,3290,3400,10,8,0,509,1,307,0,0,0,0,34,4,0,228,64,0,0,3,8,7,6,0,127,10327,7,0,60,110,0,6,13,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,13,166,63.846154,415046,2587,A C D F G H J I E B K,I F A G D K C E J H B,B E J A K H G I D F C,14,0,0,0,13,2,0,15,3,8,6094,0,0,0,3281,3400,10,9,0,536,1,307,0,0,0,0,34,4,0,223,66,0,0,3,8,8,5,0,127,10327,7,0,64,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,14,166,63.846154,585526,16358,A C H G D E F K J B I,I A J H D F B E G K C,H I E F K B C G D A J,14,0,0,0,13,2,0,15,0,7,6121,0,0,0,3290,3400,10,9,0,590,1,256,0,0,0,0,34,4,0,219,62,0,0,4,8,8,5,0,127,10327,7,0,60,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,15,166,63.846154,5347420,3628,B F I G K J H A E C D,C K I B A J E F G H D,J I F C D E G B A K H,15,0,0,0,13,2,0,15,0,7,6161,0,0,0,3281,3500,10,9,0,536,1,384,0,0,0,0,34,4,0,213,65,0,0,3,8,8,5,0,127,10327,7,0,59,111,0,8,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,16,166,63.846154,9000639,6694,C F J B I K D G E H A,I E B C K J A H F G D,B G F J H D I C E A K,14,0,0,0,13,2,0,15,3,8,6099,0,0,0,3281,3500,10,9,0,536,2,307,0,0,0,0,34,4,0,218,63,0,0,3,8,8,6,0,127,10327,7,0,55,110,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,17,166,63.846154,25552282,635,H A E I K C G D J B F,I B E J F D C K H G A,K I G C E H B D F A J,15,0,0,0,13,2,0,15,3,8,6128,0,0,0,3336,3400,10,9,0,527,1,384,0,0,0,0,34,4,0,224,69,0,0,3,8,7,6,0,127,10327,7,0,61,108,0,6,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,18,166,63.846154,25815265,8938,H B C E A I F D G K J,G J A F E C D K B I H,B D G E A J K H C F I,14,0,0,0,13,2,0,15,3,8,6099,0,0,0,3318,3600,10,8,0,500,1,384,0,0,0,0,34,4,0,210,65,0,0,3,8,7,5,0,127,10327,7,0,58,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,19,166,63.846154,25816510,15667,H B C E F D I K J A G,I B F D H K G C J E A,H F I K J A D B C G E,13,0,0,0,13,2,0,15,0,7,6091,0,0,0,3309,3600,10,9,0,481,2,384,0,0,0,0,34,4,0,222,62,0,0,3,8,8,6,0,127,10327,7,0,63,111,0,8,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,20,166,63.846154,26705475,6209,H D G C I K F A E J B,A B G D F I H J C E K,J I E H B A K C G F D,15,0,0,0,15,2,0,15,3,8,6122,0,0,0,3272,3300,10,9,0,518,2,307,0,0,0,0,34,3,0,224,63,0,0,3,8,7,5,0,127,10327,7,0,55,111,0,7,12,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,21,166,63.846154,28980631,17083,H K I G A J C D B F E,D B F K A C I E G H J,G F E D J H B I A K C,14,0,0,0,13,2,0,15,3,8,6117,0,0,0,3300,3400,10,9,0,554,2,384,0,0,0,0,34,4,0,208,68,0,0,3,8,7,5,0,127,10327,7,0,63,109,0,7,13,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,22,166,63.846154,30283786,8212,I D F A H J K C G B E,C H G D B K F A E J I,B K D H I A E J G C F,14,0,0,0,13,2,0,15,3,8,6158,0,0,0,3336,3400,10,9,0,490,1,307,0,0,0,0,34,4,0,209,64,0,0,2,8,7,5,0,127,10327,7,0,59,112,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,23,166,63.846154,36003063,12323,J K B I E C F G D H A,G F D A K J I C H B E,D I B E J C A H K F G,15,0,0,0,15,2,0,15,3,8,6127,0,0,0,3263,3400,10,9,0,527,2,409,0,0,0,0,34,3,0,222,62,0,0,1,8,7,5,0,127,10327,7,0,70,113,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,24,165,63.461538,160961,17843,A B F K J G D H I E C,B G C E H A K D F J I,F D B I C G H J E K A,14,0,0,0,13,2,0,15,3,8,6122,0,0,0,3263,3400,10,9,0,527,1,409,0,0,0,0,34,4,0,204,65,0,0,3,8,7,5,0,127,10327,7,0,70,111,0,8,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,25,165,63.461538,947836,18207,A D H G B F J C K E I,I G F J K D H E C B A,B D E C I J K A H F G,14,0,0,0,13,2,0,15,3,8,6091,0,0,0,3327,3400,10,9,0,518,1,307,0,0,0,0,34,4,0,219,66,0,0,2,8,7,5,0,127,10327,7,0,61,110,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,26,165,63.461538,1339338,9968,A E I C J D B K F G H,G B C J H F I A E D K,D F B C K E H G A J I,15,0,0,0,13,2,0,15,3,8,6165,0,0,0,3290,3400,10,9,0,518,2,307,0,0,0,0,34,4,0,220,66,0,0,3,8,7,5,0,127,10327,7,0,62,112,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,27,165,63.461538,1461382,4426,A F B D K I C J H E G,H J F A K D C B I E G,I A E G D H B F K J C,13,0,0,0,13,2,0,15,0,7,6110,0,0,0,3309,3400,10,9,0,536,2,384,0,0,0,0,34,4,0,220,66,0,0,2,8,8,5,0,127,10327,7,0,60,108,0,7,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,28,165,63.461538,1999387,18424,A G F H I K D J B E C,J G F B H A C E K I D,K D H C I E J G A F B,13,0,0,0,13,2,0,15,3,8,6137,0,0,0,3309,3500,10,8,0,527,2,384,0,0,0,0,34,4,0,215,63,0,0,3,8,7,6,0,127,10327,7,0,68,113,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,29,165,63.461538,2023590,1259,A G H C F I D E B J K,K A C G E B J F I H D,D G H E F C A B K I J,15,0,0,0,13,2,0,15,3,8,6124,0,0,0,3345,3500,10,8,0,545,1,384,0,0,0,0,34,4,0,229,66,0,0,3,8,8,6,0,127,10327,7,0,64,108,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,30,165,63.461538,2553803,2801,A I B E H K G D J F C,F G B E C I J D K A H,B A D F G H C J I E K,14,0,0,0,13,2,0,15,3,8,6099,0,0,0,3290,3400,10,9,0,500,2,307,0,0,0,0,34,4,0,219,65,0,0,3,8,7,5,0,127,10327,7,0,61,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,31,165,63.461538,2757765,16917,A I G E C D F K H J B,D C G I B F A E K H J,K J D B F H G A I C E,15,0,0,0,13,2,0,15,0,7,6124,0,0,0,3272,3400,10,9,0,509,1,307,0,0,0,0,34,4,0,213,67,0,0,3,8,8,5,0,127,10327,7,0,61,109,0,7,13,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,32,165,63.461538,3935675,4401,B A J G K D E F I H C,J I B D H C E G A F K,H K I B F J A D G E C,14,0,0,0,13,2,0,15,0,7,6114,0,0,0,3309,3400,10,9,0,536,1,307,0,0,0,0,34,4,0,217,67,0,0,2,8,8,5,0,127,10327,7,0,59,111,0,7,13,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,33,165,63.461538,5371770,10805,B F J C I H G K A D E,H F A D C I B E K G J,K E G B J H F I C D A,15,0,0,0,13,2,0,15,3,8,6113,0,0,0,3309,3500,10,8,0,527,1,307,0,0,0,0,34,4,0,209,66,0,0,3,8,7,5,0,127,10327,7,0,60,111,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,34,165,63.461538,6791651,3242,B J H E F K A D I G C,K I B C F J G A E H D,H E I J B A D G F C K,14,0,0,0,13,2,0,15,3,8,6115,0,0,0,3300,3400,10,9,0,545,2,307,0,0,0,0,34,4,0,206,66,0,0,2,8,7,5,0,127,10327,7,0,63,109,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,35,165,63.461538,7825365,3229,C B H A I G E K F J D,G J E F B H C K A I D,E C F I D K H A J B G,14,0,0,0,13,2,0,15,3,8,6108,0,0,0,3327,3400,10,9,0,490,2,307,0,0,0,0,34,4,0,217,63,0,0,2,8,7,5,0,127,10327,7,0,60,112,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,36,165,63.461538,8236729,8194,C D I E B K G A F J H,A H C I B G F D J E K,E D J B C A I G K F H,14,0,0,0,13,2,0,15,3,8,6097,0,0,0,3336,3400,10,9,0,500,1,307,0,0,0,0,34,4,0,213,63,0,0,3,8,7,5,0,127,10327,7,0,68,113,0,7,14,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,37,165,63.461538,8589855,18701,C E I A F G B J H K D,F D J B I C E A K G H,B A E C H G I K J D F,14,0,0,0,13,2,0,15,0,7,6114,0,0,0,3245,3300,10,9,0,618,1,384,0,0,0,0,34,4,0,206,62,0,0,3,8,8,5,0,127,10327,8,0,68,111,0,8,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,38,165,63.461538,9145158,19164,C G B J F H I D A E K,H D B K A G E I J F C,K G F A D C J E H I B,13,0,0,0,13,2,0,15,0,6,6129,0,0,0,3309,3500,10,9,0,581,1,409,0,0,0,0,34,4,0,215,64,0,0,3,8,8,6,0,127,10327,8,0,59,111,0,8,15,0,4,0
38,4000000,4012543,3180172010120840130,16994406626775894751,39,165,63.461538,9261646,3179,C G F I H D B K J A E,I B F D J K C G H E A,F C E B A J H D K G I,15,0,0,0,15,2,0,15,3,8,6128,0,0,0,3300,3400,10,9,0,527,1,409,0,0,0,0,34,3,0,221,63,0,0,1,8,7,6,0,127,10327,8,0,68,112,0,7,13,0,4,0
