heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
83,4000000,4012628,7063376904497828234,16994406626775894751,1,161,61.923077,8610824,19295,C E I G F D K B H A J,A K H J C D I G F B E,G C B A I K F J E D H,14,0,0,0,13,2,0,15,2,8,6129,0,0,0,3254,3400,10,9,0,600,2,409,0,0,0,0,29,4,0,207,67,0,0,2,8,8,5,0,126,10563,7,0,62,116,0,8,15,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,2,158,60.769231,7031718,3858,B K E F C D I G A H J,B J C K F A E G D I H,D G I E A H C F K B J,14,0,0,0,13,2,0,15,2,7,6156,0,0,0,3300,3400,10,9,0,563,2,384,0,0,0,0,29,3,0,211,68,0,0,4,8,6,5,0,126,10563,8,0,59,115,0,7,14,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,3,158,60.769231,15475559,10979,E C H J F I K G D B A,D A K B I H C E G F J,I D G F H A K B J E C,15,0,0,0,14,2,0,15,2,6,6151,0,0,0,3272,3400,10,9,0,618,3,384,0,0,0,0,29,3,0,216,67,0,0,2,8,8,5,0,126,10563,8,0,63,117,0,7,14,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,4,158,60.769231,21782141,17602,G A B D J K I C H F E,D J I G C H B A F K E,I G C E B A F D J H K,14,0,0,0,13,2,0,15,0,6,6152,0,0,0,3281,3400,10,8,0,590,1,384,0,0,0,0,29,3,0,226,68,0,0,2,8,7,5,0,126,10563,7,0,59,115,0,7,14,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,5,158,60.769231,34452578,1715,J E K D H G I A C B F,J D G F I C E B K H A,G A F E D B K H C J I,14,0,0,0,13,2,0,15,2,8,6131,0,0,0,3300,3400,10,8,0,545,2,307,0,0,0,0,29,4,0,220,67,0,0,4,8,8,5,0,126,10563,7,0,63,115,0,8,14,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,6,157,60.384615,748391,12192,A D B H G F I K J E C,D E C A G K I H F B J,K G I D F E A J B H C,13,0,0,0,13,2,0,15,2,7,6141,0,0,0,3290,3500,10,8,0,581,1,409,0,0,0,0,29,3,0,223,68,0,0,4,8,7,5,0,126,10563,7,0,57,115,0,8,15,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,7,157,60.384615,2638829,10537,A I D F H B E C K J G,H A E F I K B G J D C,K I C E D J H F G A B,14,0,0,0,13,2,0,15,0,7,6172,0,0,0,3272,3300,10,9,0,654,2,307,0,0,0,0,29,4,0,215,68,0,0,3,8,7,5,0,126,10563,7,0,59,114,0,8,15,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,8,157,60.384615,3657759,16433,B A C I J E F H G K D,H B E C A K J G F I D,J H F B D C G E I A K,13,0,0,0,13,2,0,15,2,8,6150,0,0,0,3272,3400,10,8,0,572,1,384,0,0,0,0,29,4,0,219,69,0,0,4,8,8,5,0,126,10563,7,0,59,116,0,8,15,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,9,157,60.384615,4938382,9439,B E H F J K A I G C D,K I D G J H B A F C E,D H A F G B C J E I K,14,0,0,0,13,2,0,15,2,8,6126,0,0,0,3263,3400,10,9,0,545,2,307,0,0,0,0,29,4,0,217,67,0,0,4,8,7,5,0,126,10563,7,0,63,115,0,8,15,0,4,0
83,4000000,4012628,7063376904497828234,16994406626775894751,10,157,60.384615,5308050,3709,B F H I C D J K A E G,G D H J A I B F K E C,J K B A D H C I G F E,14,0,0,0,13,2,0,15,2,8,6155,0,0,0,3245,3400,10,8,0,590,2,307,0,0,0,0,29,4,0,224,67,0,0,2,8,7,5,0,126,10563,7,0,63,116,0,8,15,0,4,0
