heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
85,4000000,4012179,9695140413096671892,16994406626775894751,1,164,63.076923,10833079,1615,C K I G D J F B A H E,G E D A F B H I J C K,A I J K H E C F G B D,14,0,0,0,13,2,0,15,1,7,6094,0,0,0,3300,3400,10,9,0,609,2,409,0,0,0,0,29,3,0,212,68,0,0,5,8,6,4,0,139,11436,6,0,61,115,0,7,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,2,164,63.076923,39173874,17157,K H J E F A I G B C D,B J A D E I G C F K H,J G K A I H F D C E B,14,0,0,0,14,2,0,15,1,6,6144,0,0,0,3309,3400,10,9,0,590,1,409,0,0,0,0,29,3,0,205,65,0,0,2,8,7,5,0,139,11436,7,0,62,117,0,8,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,3,163,62.692308,2068618,1781,A G I D F B H E K C J,G J I A D B K C F E H,F G B J A H D E K I C,14,0,0,0,14,2,0,15,2,6,6158,0,0,0,3300,3400,10,9,0,536,2,384,0,0,0,0,29,3,0,224,65,0,0,2,8,6,4,0,139,11436,7,0,61,117,0,8,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,4,163,62.692308,19094212,9152,F C H G E J D A K B I,E K A D C H I J F B G,G D K J H F E B I C A,14,0,0,0,13,2,0,15,1,7,6136,0,0,0,3345,3600,10,8,0,581,1,307,0,0,0,0,29,3,0,219,67,0,0,5,8,6,5,0,139,11436,6,0,55,115,0,7,11,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,5,163,62.692308,19757627,11163,F E G A C B K H J I D,F J E I K H G A D C B,I G B E D F A K C H J,14,0,0,0,14,2,0,15,2,6,6118,0,0,0,3345,3500,10,8,0,600,1,307,0,0,0,0,29,3,0,220,67,0,0,4,8,6,5,0,139,11436,7,0,55,117,0,8,10,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,6,163,62.692308,29535172,2286,I B E G C A H D K F J,C D H K G J E B F I A,D J C A E K I H B F G,14,0,0,0,14,2,0,15,1,6,6151,0,0,0,3354,3500,10,8,0,590,1,384,0,0,0,0,29,3,0,226,65,0,0,2,8,6,5,0,139,11436,8,0,61,117,0,7,11,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,7,162,62.307692,337466,8880,A B K E J H D C G F I,B G A J K C E H I F D,C J K D F H G B E I A,13,0,0,0,13,2,0,15,1,8,6119,0,0,0,3300,3400,10,9,0,590,2,307,0,0,0,0,29,4,0,209,69,0,0,4,8,6,5,0,139,11436,7,0,58,114,0,8,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,8,162,62.307692,5151449,6486,B F C J A I H G K E D,H F D E C G K B J I A,C B K I D E A H G F J,14,0,0,0,14,2,0,15,2,6,6153,0,0,0,3327,3500,10,8,0,590,1,307,0,0,0,0,29,3,0,226,65,0,0,3,8,6,5,0,139,11436,7,0,56,117,0,7,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,9,162,62.307692,7846327,6771,C B H G J I A E D K F,J A C K E F I D B G H,A H D J K I E G C F B,14,0,0,0,13,2,0,15,2,7,6115,0,0,0,3309,3400,10,8,0,590,1,307,0,0,0,0,29,3,0,210,67,0,0,2,8,8,5,0,139,11436,7,0,63,115,0,7,12,0,4,0
85,4000000,4012179,9695140413096671892,16994406626775894751,10,162,62.307692,12119341,10239,D E F H I C G J A K B,C F K B E I H J A G D,H I D J C E B A K F G,14,0,0,0,14,2,0,15,2,6,6118,0,0,0,3309,3500,10,8,0,563,1,307,0,0,0,0,29,3,0,221,65,0,0,2,8,6,5,0,139,11436,7,0,61,117,0,7,12,0,4,0
