heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
90,4000000,4012099,6991020331997264628,16994406626775894751,1,158,60.769231,3580361,9127,A K I H D G C F J E B,B E A F C K H I G J D,F J I C H B D E A K G,15,0,0,0,14,2,0,15,0,7,6123,0,0,0,3290,3400,10,9,0,536,1,384,0,0,0,0,29,4,0,216,71,0,0,2,8,8,5,0,134,11672,7,0,62,114,0,7,16,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,2,158,60.769231,10871329,19682,C K J G A B F D E I H,I E J D C K F B H A G,H I E G B D A F C K J,14,0,0,0,13,2,0,15,2,9,6069,0,0,0,3300,3400,10,8,0,572,1,409,0,0,0,0,29,4,0,227,71,0,0,2,8,7,5,0,134,11672,7,0,68,112,0,7,16,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,3,158,60.769231,26709206,7717,H D G E F A J I C B K,D A C G H J E F K I B,A G E F I H K C B D J,14,0,0,0,14,2,0,15,0,7,6130,0,0,0,3272,3500,10,9,0,590,1,409,0,0,0,0,29,4,0,209,70,0,0,3,8,6,5,0,134,11672,7,0,67,114,0,7,17,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,4,158,60.769231,28731083,1374,H K B F G C I D J E A,B G C I K A H F J E D,F J D B A I C E H K G,15,0,0,0,13,2,0,15,2,9,6076,0,0,0,3281,3400,10,9,0,581,2,409,0,0,0,0,29,4,0,213,71,0,0,3,8,7,5,0,134,11672,7,0,61,114,0,7,17,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,5,157,60.384615,928840,10017,A D H B F C G J K E I,B G A I C F H D J K E,K J G H B C F A E D I,14,0,0,0,13,2,0,15,0,7,6126,0,0,0,3281,3500,10,9,0,581,1,384,0,0,0,0,29,4,0,216,71,0,0,1,8,7,5,0,134,11672,7,0,64,113,0,7,18,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,6,157,60.384615,7820736,11203,C B G K I A J D E F H,E D J I G F A B C H K,K C G B D E I J H F A,13,0,0,0,13,2,0,15,2,9,6083,0,0,0,3254,3300,10,9,0,509,1,384,0,0,0,0,29,4,0,213,71,0,0,3,8,7,5,0,134,11672,7,0,59,114,0,7,17,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,7,157,60.384615,13767019,16879,D I K E F J A H B G C,I D F J C E H K G B A,H A B E F K C D J I G,14,0,0,0,13,2,0,15,0,7,6079,0,0,0,3272,3400,10,9,0,563,2,384,0,0,0,0,29,4,0,215,71,0,0,1,8,7,5,0,134,11672,7,0,68,113,0,7,16,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,8,157,60.384615,31953983,5119,I J A F B G C K H E D,G J H F A I C E B D K,J H F E K A B C I G D,14,0,0,0,13,2,0,15,2,9,6119,0,0,0,3272,3400,10,9,0,590,1,384,0,0,0,0,29,4,0,214,70,0,0,2,8,7,5,0,134,11672,7,0,67,113,0,7,17,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,9,157,60.384615,38375830,6468,K F H I B G D J E A C,H A E J C D I B K F G,C I F H D G E K A B J,13,0,0,0,13,2,0,15,2,9,6122,0,0,0,3254,3400,10,8,0,581,2,307,0,0,0,0,29,4,0,205,71,0,0,3,8,7,5,0,134,11672,7,0,61,114,0,7,15,0,4,0
90,4000000,4012099,6991020331997264628,16994406626775894751,10,156,60.000000,2311551,4797,A H E D I F K G C J B,B I C J D E K H G F A,F A D B G C E I J H K,14,0,0,0,13,2,0,15,2,9,6136,0,0,0,3254,3400,10,9,0,581,1,384,0,0,0,0,29,4,0,217,73,0,0,2,8,7,5,0,134,11672,7,0,59,114,0,7,18,0,4,0
