heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
71,4000000,4012544,11728711186166411138,16994406626775894751,1,167,64.230769,5864879,10511,B H C F I G K J E D A,A I D C B G H F J E K,G B I F E C K J D H A,15,0,0,0,14,2,0,15,0,8,6161,0,0,0,3290,3500,10,8,0,536,1,307,0,0,0,0,30,4,0,222,66,0,0,3,8,6,4,0,137,10672,6,0,60,114,0,7,11,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,2,167,64.230769,21204968,11047,F J D K C E A G H B I,B K D I H E C J F A G,F H J D E I G B C K A,14,0,0,0,14,2,0,15,0,8,6163,0,0,0,3309,3400,10,9,0,545,1,409,0,0,0,0,30,4,0,219,67,0,0,3,8,6,5,0,137,10672,6,0,58,114,0,7,13,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,3,167,64.230769,26393458,6137,H C I F J E D B K A G,F E A H J C G I K B D,H C I K B G A D E F J,15,0,0,0,14,2,0,15,0,9,6188,0,0,0,3227,3300,10,9,0,581,1,307,0,0,0,0,30,4,0,209,66,0,0,3,8,6,5,0,137,10672,7,0,60,114,0,7,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,4,167,64.230769,31675572,12512,I H C F J K A E B D G,E C J A D G H K B F I,H G B K C A F E I J D,14,0,0,0,14,2,0,15,0,9,6125,0,0,0,3254,3400,10,8,0,600,1,409,0,0,0,0,30,4,0,226,66,0,0,3,8,6,4,0,137,10672,7,0,58,115,0,7,13,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,5,166,63.846154,3143015,2661,A J G K F C H I E D B,F A I C H B G D J E K,B J H F E I A C D K G,15,0,0,0,14,2,0,15,0,9,6188,0,0,0,3290,3400,10,9,0,527,1,307,0,0,0,0,30,4,0,220,65,0,0,3,8,7,4,0,137,10672,6,0,56,115,0,7,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,6,166,63.846154,8074984,14958,C D E F B G I J K A H,A K F E D G I H C J B,K G B H I A C F E D J,14,0,0,0,14,2,0,15,0,9,6152,0,0,0,3245,3300,10,9,0,572,2,384,0,0,0,0,30,4,0,217,67,0,0,2,8,6,5,0,137,10672,7,0,58,114,0,7,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,7,166,63.846154,19921191,2252,F E K A H C J G D I B,H D K J E I B A F C G,E G H F K B J I C D A,14,0,0,0,14,2,0,15,0,9,6148,0,0,0,3254,3400,10,9,0,581,2,384,0,0,0,0,30,4,0,215,66,0,0,2,8,6,5,0,137,10672,6,0,60,114,0,7,14,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,8,166,63.846154,23007021,616,G D E H K B A J F I C,H J C K I E D G F B A,K B E G D H J A C F I,14,0,0,0,14,2,0,15,0,8,6165,0,0,0,3263,3400,10,8,0,527,1,307,0,0,0,0,30,4,0,218,66,0,0,3,8,6,5,0,137,10672,6,0,60,114,0,7,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,9,166,63.846154,29490280,14721,I B D F C J E H K A G,F K J D I B G A E H C,C F B G H I A J K E D,15,0,0,0,14,2,0,15,0,9,6183,0,0,0,3300,3500,10,9,0,500,1,256,0,0,0,0,30,4,0,226,66,0,0,1,8,8,5,0,137,10672,6,0,62,114,0,7,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,10,165,63.461538,213910,9020,A B H E G C I K J D F,F G D H C E K A J B I,B K I F E H A G D J C,14,0,0,0,14,2,0,15,0,9,6167,0,0,0,3245,3400,10,8,0,572,2,384,0,0,0,0,30,4,0,215,66,0,0,3,8,6,5,0,137,10672,7,0,58,114,0,8,12,0,4,0
71,4000000,4012544,11728711186166411138,16994406626775894751,11,165,63.461538,394398,11385,A C B J E I H F D G K,K D F J G B C E H I A,E I K A C J F H D B G,15,0,0,0,14,2,0,15,0,8,6169,0,0,0,3254,3300,10,9,0,481,1,256,0,0,0,0,30,4,0,223,65,0,0,3,8,7,5,0,137,10672,6,0,58,115,0,7,12,0,4,0
