heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
107,4000000,4013018,13237735421936321576,16994406626775894751,1,166,63.846154,23086275,7074,G D H F I B J A E K C,B I D C E G J K A F H,C E G I K B D A H J F,15,0,0,0,15,2,0,15,2,4,6125,0,0,0,3309,3500,10,8,0,545,1,409,0,0,0,0,28,3,0,215,68,0,0,3,8,6,5,0,132,11618,7,0,54,117,0,7,11,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,2,164,63.076923,1947091,11396,A G E D F C J K B I H,I B G J K A C F H E D,E F D G A H K J I B C,15,0,0,0,15,2,0,15,2,4,6152,0,0,0,3318,3500,10,8,0,609,1,384,0,0,0,0,28,3,0,214,69,0,0,3,8,6,4,0,132,11618,7,0,64,116,0,6,12,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,3,163,62.692308,2078822,8099,A G I F E C H J D B K,J F A D G K I H B C E,D H E C B G J A F K I,15,0,0,0,15,2,0,15,2,4,6141,0,0,0,3272,3400,10,9,0,600,1,409,0,0,0,0,28,3,0,210,68,0,0,2,8,7,5,0,132,11618,7,0,58,117,0,6,14,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,4,163,62.692308,4930235,2724,B E H D C I F G K J A,B I F J G E C K A H D,F E J K C H I A D B G,13,0,0,0,13,2,0,15,0,5,6126,0,0,0,3363,3500,10,8,0,581,1,409,0,0,0,0,28,4,0,219,73,0,0,3,8,6,5,0,132,11618,7,0,60,112,0,6,13,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,5,163,62.692308,14564774,16982,E A C D J K B H G F I,H D F K G C B E J A I,A H B D J I G K C F E,15,0,0,0,15,2,0,15,2,4,6115,0,0,0,3327,3500,10,8,0,527,1,384,0,0,0,0,28,3,0,211,70,0,0,1,8,6,5,0,132,11618,7,0,62,115,0,7,12,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,6,163,62.692308,20367474,14075,F H B C D A K J E G I,G A I F B D K J E C H,A K E J F G C D H I B,15,0,0,0,15,2,0,15,2,4,6118,0,0,0,3363,3500,10,8,0,618,1,307,0,0,0,0,28,3,0,222,69,0,0,3,8,6,5,0,132,11618,7,0,60,116,0,6,11,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,7,163,62.692308,23190137,15151,G D K B C H A I J F E,D H G F I K J A E C B,C I A J E G D H B K F,15,0,0,0,15,2,0,15,2,4,6146,0,0,0,3327,3500,10,8,0,536,1,384,0,0,0,0,28,3,0,212,68,0,0,3,8,6,5,0,132,11618,7,0,64,117,0,6,12,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,8,163,62.692308,30910141,15117,I F B G K H D E A J C,C K I D G J B A H E F,D A E J C I F G B K H,15,0,0,0,13,2,0,15,2,5,6163,0,0,0,3309,3400,10,9,0,618,2,409,0,0,0,0,28,3,0,207,71,0,0,4,8,6,5,0,132,11618,7,0,59,114,0,7,12,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,9,163,62.692308,34897323,5724,J G B F A H C D I K E,C B A K I E G H D J F,J F H E C B K D G I A,15,0,0,0,15,2,0,15,2,4,6151,0,0,0,3281,3400,10,9,0,572,2,384,0,0,0,0,28,3,0,217,69,0,0,1,8,6,5,0,132,11618,8,0,58,116,0,7,12,0,4,0
107,4000000,4013018,13237735421936321576,16994406626775894751,10,162,62.307692,47664,450,A B D E H F G C I J K,E K C A G J B I F D H,I G B K A D F C J H E,15,0,0,0,15,2,0,15,2,4,6098,0,0,0,3290,3400,10,9,0,600,2,307,0,0,0,0,28,3,0,222,69,0,0,3,8,6,5,0,132,11618,7,0,56,116,0,7,12,0,4,0
