heart_index,trials_per_heart,raw_attempts,heart_signature,scoring_signature,rank,integer_score,score_percent,head_permutation_rank,head_pattern_index,head_wanderer_for_orbiter,tail_orbiter_a_for_wanderer,tail_orbiter_b_for_wanderer,first_minimum_wanderer_influence,first_minimum_input_coverage,second_minimum_wanderer_influence,second_minimum_input_coverage,minimum_pair_union,minimum_heart_separation,total_heart_separation,minimum_pair_balance,minimum_complement,dominated_pair_count,flow_area,arrival_total,maximum_arrival_skew,directed_diameter,mean_wanderer_shortest_path_x1000,worst_wanderer_mean_shortest_path_x1000,minimum_influenced_wanderers,minimum_wanderers_reached_within_four_edges,mean_four_edge_wanderer_reach_x1000,redundant_early_branch_fraction_x1000,pair_component_count,minimum_subset_expansion,total_subset_expansion,reserved_legacy_spectral_gap,minimum_one_round_wanderer_fanout,mean_one_round_wanderer_fanout_x1000,minimum_source_orbiter_journey_area,minimum_dual_tail_wanderer_reach,mean_dual_tail_wanderer_reach_x1000,maximum_orbiter_shortest_path_load_x1000,maximum_ordered_source_orphan_area,mean_ordered_source_orphan_area_x1000,maximum_last_orphan_latency,maximum_orphan_straggler_gap,maximum_midpoint_source_orphans,maximum_midpoint_destination_orphan_load,maximum_midpoint_co_orphan_load,maximum_source_meeting_orphans,maximum_source_meeting_area,mean_source_pair_meeting_latency_x1000,maximum_robust_orphans,mean_robust_orphans_x1000,maximum_ordered_destination_orphan_area,maximum_dual_tail_source_orphan_area,mean_dual_tail_source_orphan_area_x1000,maximum_robust_destination_orphans,maximum_single_orbiter_ordered_pair_damage,mean_single_orbiter_ordered_pair_damage_x1000,minimum_surviving_fanout_after_one_orbiter_removal,maximum_dual_tail_arrival_skew
32,4000000,4012731,1436020286083604946,16994406626775894751,1,167,64.230769,12336255,8229,D E K J G H A F C I B,E D F B K J H G C I A,K I E D J C A B G H F,13,0,0,0,13,2,0,15,0,7,6093,0,0,0,3281,3400,10,8,0,581,1,409,0,0,0,0,34,4,0,216,64,0,0,2,8,7,5,0,127,11145,7,0,60,113,0,7,15,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,2,166,63.846154,674529,1364,A C J H I K B E F G D,H E J B C F D I K A G,F K C D G A I H J E B,13,0,0,0,13,2,0,15,0,7,6109,0,0,0,3290,3500,10,8,0,581,1,409,0,0,0,0,34,4,0,218,66,0,0,3,8,7,5,0,127,11145,7,0,59,113,0,7,15,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,3,166,63.846154,28102472,13144,H I D K J B C E F A G,I A F H J B C G D K E,D E J F A C G B K H I,14,0,0,0,13,2,0,15,0,8,6145,0,0,0,3272,3300,10,9,0,590,2,384,0,0,0,0,34,4,0,205,63,0,0,3,8,6,5,0,127,11145,7,0,60,113,0,7,15,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,4,165,63.461538,1658734,9456,A F H C B J I K G D E,B J E F G K H A C D I,G K A I C E F H J B D,14,0,0,0,13,2,0,15,0,7,6132,0,0,0,3290,3400,10,9,0,527,1,307,0,0,0,0,34,4,0,237,66,0,0,4,8,6,5,0,127,11145,7,0,55,113,0,7,14,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,5,165,63.461538,1850579,944,A G B K D E H F J I C,G A F J E C H K D B I,B F I A G K J D H C E,15,0,0,0,15,2,0,15,0,7,6142,0,0,0,3300,3400,10,9,0,509,1,409,0,0,0,0,34,3,0,222,64,0,0,2,8,8,6,0,127,11145,6,0,60,114,0,7,14,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,6,165,63.461538,7115399,19054,B K G E I D J H F C A,A B K G I H F C D J E,G D C E H F A J K B I,15,0,0,0,15,2,0,15,2,8,6110,0,0,0,3300,3500,10,9,0,518,2,409,0,0,0,0,34,3,0,217,63,0,0,3,8,7,5,0,127,11145,7,0,58,114,0,8,13,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,7,165,63.461538,11013262,15757,D A F C E G B K J H I,D K G E J A H I B C F,K E A F H J I D C G B,14,0,0,0,13,2,0,15,0,7,6117,0,0,0,3245,3400,10,9,0,563,1,384,0,0,0,0,34,4,0,211,66,0,0,3,8,8,5,0,127,11145,6,0,60,112,0,8,15,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,8,165,63.461538,11175203,11493,D A J C F B I G K H E,K H J F I A D C E B G,E J B H F D I K A G C,14,0,0,0,13,2,0,15,0,7,6123,0,0,0,3263,3400,10,9,0,563,1,409,0,0,0,0,34,4,0,209,66,0,0,3,8,8,5,0,127,11145,6,0,59,111,0,8,16,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,9,165,63.461538,12975358,301,D G I J E B K H F A C,A H F B C D K G I E J,D J H C K G E A F I B,14,0,0,0,13,2,0,15,0,7,6110,0,0,0,3281,3400,10,9,0,581,2,384,0,0,0,0,34,4,0,218,63,0,0,2,8,8,5,0,127,11145,7,0,59,111,0,8,15,0,4,0
32,4000000,4012731,1436020286083604946,16994406626775894751,10,165,63.461538,13470002,14139,D I B A H F C E J G K,K F A D J B I C H G E,H I J K C G D B A E F,15,0,0,0,14,2,0,15,0,7,6127,0,0,0,3309,3500,10,9,0,518,1,409,0,0,0,0,34,3,0,220,63,0,0,2,8,6,5,0,127,11145,7,0,60,110,0,8,14,0,4,0
